product,description
SmartWatch,Tracks health and fitness
Fitness Band,Fitness tracking wearable
Laptop,Portable computer for work and study
Phone,Smartphone with high-resolution camera and display
Earbuds,Wireless in-ear earphones with noise cancellation
Backpack,Waterproof laptop bag for travel
Bluetooth Speaker,Wireless portable speaker with bass
Gaming Mouse,High precision mouse for gamers
Mechanical Keyboard,RGB backlit keyboard for smooth typing
Tablet,Compact touchscreen device for reading and streaming
Fitness App,Fitness tracking and calorie counter app
DSLR Camera,High-definition camera for photography
Tripod Stand,Adjustable tripod for cameras and phones
Power Bank,Portable battery charger for mobiles
Smart TV,Voice-enabled smart LED TV with internet
Router,Wi-Fi router with dual-band support
Webcam,HD webcam for video calling and streaming
Headphones,Over-ear noise cancelling headphones
Wireless Charger,Qi enabled fast wireless mobile charger
Stylus Pen,Digital pen for touchscreenÂ devices